cluster	am	ar	br	ca	cp	da	hl	ho	mo	lo	ne	oy	pb	sa	sh	sm	ur	example
sgene72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
